amount.sum,amount_type.code,demarcation.code,financial_year_end.year
495345000.0,ADJB,DC35,2022
487119743.0,AUDA,DC35,2022
583152000.0,ADJB,DC35,2023
550180698.0,AUDA,DC35,2023
661707000.0,ADJB,DC35,2024
646957489.0,AUDA,DC35,2024
36743100.0,ADJB,DC36,2020
26656123.0,AUDA,DC36,2020
23266392.0,ADJB,DC36,2021
12362192.0,AUDA,DC36,2021
13893762.0,ADJB,DC36,2022
10199786.0,ADJB,DC36,2023
6393589.0,AUDA,DC36,2023
6149214.0,ADJB,DC36,2024
6345083.0,AUDA,DC36,2024
9313000.0,ADJB,DC37,2020
13213225.0,ADJB,DC37,2021
87981579.0,AUDA,DC37,2021
47201967.0,ADJB,DC37,2022
94494811.0,AUDA,DC37,2022
39708000.0,ADJB,DC37,2023
137279108.0,AUDA,DC37,2024
692366020.0,ADJB,DC38,2020
10701005049.0,AUDA,DC38,2020
830869704.0,ADJB,DC38,2021
10949993156.0,AUDA,DC38,2021
952001675.0,ADJB,DC38,2022
11506079561.0,AUDA,DC38,2022
11910064860.0,AUDA,DC38,2023
931418077.0,ADJB,DC38,2024
11249805718.0,AUDA,DC38,2024
247138912.0,ADJB,DC39,2020
1087806181.0,AUDA,DC39,2020
709056496.0,ADJB,DC39,2021
1489930678.0,AUDA,DC39,2021
1221324991.0,ADJB,DC39,2022
1726923709.0,AUDA,DC39,2022
563421765.0,ADJB,DC39,2023
159979060.0,ADJB,DC39,2024
2961910557.0,AUDA,DC39,2024
14835230.0,ADJB,DC4,2020
18887671.0,AUDA,DC4,2020
22140722.0,ADJB,DC4,2021
15689576.0,AUDA,DC4,2021
27590106.0,ADJB,DC4,2022
27844594.0,AUDA,DC4,2022
46683349.0,ADJB,DC4,2023
33019238.0,AUDA,DC4,2023
60074889.0,ADJB,DC4,2024
56765758.0,AUDA,DC4,2024
11532949.0,ADJB,DC40,2020
10821719.0,AUDA,DC40,2020
37111233.0,ADJB,DC40,2021
10962137.0,AUDA,DC40,2021
51481371.0,ADJB,DC40,2022
17690016.0,AUDA,DC40,2022
82614506.0,ADJB,DC40,2023
27751435.0,AUDA,DC40,2023
37215389.0,ADJB,DC40,2024
45737145.0,AUDA,DC40,2024
22557496.0,ADJB,DC42,2020
26499230.0,AUDA,DC42,2020
22311474.0,ADJB,DC42,2021
26036969.0,AUDA,DC42,2021
