amount.sum,demarcation.code,financial_year_end.year
842671059.0,EC142,2024
11880219.0,EC145,2020
-74849572.0,EC145,2021
-116474035.0,EC145,2022
-100675615.0,EC145,2023
-161129573.0,EC145,2024
128820384.0,EC153,2020
-31847767.0,EC153,2021
159517074.0,EC153,2022
207742284.0,EC153,2023
355621870.0,EC153,2024
689952458.0,EC154,2020
815918719.0,EC154,2021
272473445.0,EC154,2022
255499057.0,EC154,2023
299793593.0,EC154,2024
690638943.0,EC155,2020
22214446.0,EC155,2021
14009519.0,EC155,2022
441822349.0,EC155,2023
492753850.0,EC155,2024
228676400.0,EC156,2020
126268326.0,EC156,2021
347981840.0,EC156,2022
58388543.0,EC156,2023
102123334.0,EC156,2024
3019431222.0,EC157,2020
2490459393.0,EC157,2021
-846716430.0,EC157,2022
-215586362.0,EC157,2023
-86358868.0,EC157,2024
474062810.0,EC441,2020
212427076.0,EC441,2021
377094910.0,EC441,2022
446558021.0,EC441,2023
478391228.0,EC441,2024
858955733.0,EC442,2020
888351620.0,EC442,2021
844014074.0,EC442,2022
124195665.0,EC442,2023
-238806663.0,EC442,2024
430309319.0,EC443,2020
134151454.0,EC443,2021
292581129.0,EC443,2022
378061931.0,EC443,2023
494331531.0,EC443,2024
4771405.0,EC444,2020
25041058.0,EC444,2021
11114309.0,EC444,2022
20986741.0,EC444,2023
29331436.0,EC444,2024
3159095507.0,EKU,2020
4330608267.0,EKU,2021
-13533944510.0,EKU,2022
-2880739363.0,EKU,2023
-6605838747.0,EKU,2024
-86657915.0,ETH,2020
-132739875.0,ETH,2021
-226612765.0,ETH,2022
8061390826.0,ETH,2023
9605546916.0,ETH,2024
-5311768.0,FS161,2020
-5287704.0,FS161,2021
31554076.0,FS161,2022
51711407.0,FS161,2023
232512494.0,FS161,2024
-333803367.0,FS162,2024
-17537836.0,FS163,2020
14449778.0,FS163,2021
33975655.0,FS163,2022
85301747.0,FS163,2024
5571721.0,FS181,2023
776781675.0,FS182,2022
-76314932.0,FS182,2023
2834296662.0,FS182,2024
138636125.0,FS183,2020
-63845579.0,FS183,2021
60067090.0,FS183,2022
686717549.0,FS183,2023
434372936.0,FS183,2024
1081374.0,FS184,2020
1135923173.0,FS184,2021
-748409070.0,FS184,2022
-1206666063.0,FS184,2023
-1062442560.0,FS184,2024
5931.0,FS185,2020
-22438.0,FS185,2021
147463700.0,FS191,2020
-274092764.0,FS191,2021
306501567.0,FS191,2022
460551411.0,FS191,2023
242547948.0,FS191,2024
4666584.0,FS192,2020
195977829.0,FS192,2021
207766633.0,FS192,2022
221829893.0,FS192,2023
60635441.0,FS192,2024
62152770.0,FS193,2022
66802672.0,FS193,2023
198754772.0,FS193,2024
261349169.0,FS194,2020
577064868.0,FS194,2022
521080948.0,FS194,2023
-594315052.0,FS194,2024
-37154324.0,FS195,2020
-88430390.0,FS195,2021
-119141840.0,FS195,2022
-198020483.0,FS195,2023
96155786.0,FS195,2024
-89847391.0,FS196,2023
15241509.0,FS201,2020
-28609067.0,FS201,2021
384499421.0,FS201,2022
-47393385.0,FS201,2023
-6806642.0,FS201,2024
40740897.0,FS203,2020
-83213972.0,FS203,2021
-1732383658.0,FS203,2022
-168586859.0,FS203,2023
-220160467.0,FS203,2024
17471828.0,FS204,2020
-337630627.0,FS204,2021
-172450744.0,FS204,2022
21421519.0,FS204,2023
218519122.0,FS204,2024
2795844.0,FS205,2020
-36874599.0,FS205,2022
217508395.0,GT421,2020
