amount.sum,demarcation.code,financial_year_end.year,item.code,item.label
0.0,DC2,2020,irregular,Irregular Expenditure
0.0,DC2,2020,unauthorised,Unauthorised Expenditure
0.0,DC2,2021,fruitless,Fruitless and Wasteful Expenditure
1486022.0,DC2,2021,irregular,Irregular Expenditure
0.0,DC2,2021,unauthorised,Unauthorised Expenditure
0.0,DC2,2022,fruitless,Fruitless and Wasteful Expenditure
0.0,DC2,2022,irregular,Irregular Expenditure
0.0,DC2,2022,unauthorised,Unauthorised Expenditure
400.0,DC2,2023,fruitless,Fruitless and Wasteful Expenditure
0.0,DC2,2023,irregular,Irregular Expenditure
0.0,DC2,2023,unauthorised,Unauthorised Expenditure
0.0,DC2,2024,fruitless,Fruitless and Wasteful Expenditure
0.0,DC2,2024,irregular,Irregular Expenditure
0.0,DC2,2024,unauthorised,Unauthorised Expenditure
133607.0,DC20,2019,fruitless,Fruitless and Wasteful Expenditure
29118472.0,DC20,2019,irregular,Irregular Expenditure
10841179.0,DC20,2019,unauthorised,Unauthorised Expenditure
27590.0,DC20,2020,fruitless,Fruitless and Wasteful Expenditure
47155670.0,DC20,2020,irregular,Irregular Expenditure
5225398.0,DC20,2020,unauthorised,Unauthorised Expenditure
0.0,DC20,2021,fruitless,Fruitless and Wasteful Expenditure
27734003.0,DC20,2021,irregular,Irregular Expenditure
46579839.0,DC20,2021,unauthorised,Unauthorised Expenditure
4090798.0,DC20,2022,fruitless,Fruitless and Wasteful Expenditure
14298487.0,DC20,2022,irregular,Irregular Expenditure
9899855.0,DC20,2022,unauthorised,Unauthorised Expenditure
14712.0,DC20,2023,fruitless,Fruitless and Wasteful Expenditure
39795788.0,DC20,2023,irregular,Irregular Expenditure
5487646.0,DC20,2023,unauthorised,Unauthorised Expenditure
1699021.0,DC20,2024,fruitless,Fruitless and Wasteful Expenditure
30921595.0,DC20,2024,irregular,Irregular Expenditure
6569167.0,DC20,2024,unauthorised,Unauthorised Expenditure
11717649.0,DC21,2019,fruitless,Fruitless and Wasteful Expenditure
322158510.0,DC21,2019,irregular,Irregular Expenditure
228149864.0,DC21,2019,unauthorised,Unauthorised Expenditure
10915080.0,DC21,2020,fruitless,Fruitless and Wasteful Expenditure
294828507.0,DC21,2020,irregular,Irregular Expenditure
295340848.0,DC21,2020,unauthorised,Unauthorised Expenditure
14197445.0,DC21,2021,fruitless,Fruitless and Wasteful Expenditure
177751802.0,DC21,2021,irregular,Irregular Expenditure
252414680.0,DC21,2021,unauthorised,Unauthorised Expenditure
19435694.0,DC21,2022,fruitless,Fruitless and Wasteful Expenditure
324546344.0,DC21,2022,irregular,Irregular Expenditure
223787517.0,DC21,2022,unauthorised,Unauthorised Expenditure
4518704.0,DC21,2023,fruitless,Fruitless and Wasteful Expenditure
242350998.0,DC21,2023,irregular,Irregular Expenditure
431556883.0,DC21,2023,unauthorised,Unauthorised Expenditure
23489793.0,DC21,2024,fruitless,Fruitless and Wasteful Expenditure
107142814.0,DC21,2024,irregular,Irregular Expenditure
1099401477.0,DC21,2024,unauthorised,Unauthorised Expenditure
488248.0,DC22,2019,fruitless,Fruitless and Wasteful Expenditure
7803093.0,DC22,2019,irregular,Irregular Expenditure
45447394.0,DC22,2019,unauthorised,Unauthorised Expenditure
7281877.0,DC22,2020,fruitless,Fruitless and Wasteful Expenditure
41375493.0,DC22,2020,irregular,Irregular Expenditure
182429395.0,DC22,2020,unauthorised,Unauthorised Expenditure
283278.0,DC22,2021,fruitless,Fruitless and Wasteful Expenditure
13332251.0,DC22,2021,irregular,Irregular Expenditure
86575122.0,DC22,2021,unauthorised,Unauthorised Expenditure
34197.0,DC22,2022,fruitless,Fruitless and Wasteful Expenditure
680904.0,DC22,2022,irregular,Irregular Expenditure
65629790.0,DC22,2022,unauthorised,Unauthorised Expenditure
20095188.0,DC22,2023,fruitless,Fruitless and Wasteful Expenditure
345927100.0,DC22,2023,irregular,Irregular Expenditure
256836921.0,DC22,2023,unauthorised,Unauthorised Expenditure
13945.0,DC22,2024,fruitless,Fruitless and Wasteful Expenditure
176423114.0,DC22,2024,irregular,Irregular Expenditure
186531936.0,DC22,2024,unauthorised,Unauthorised Expenditure
1988240.0,DC23,2019,fruitless,Fruitless and Wasteful Expenditure
245563325.0,DC23,2019,irregular,Irregular Expenditure
66665124.0,DC23,2019,unauthorised,Unauthorised Expenditure
11612520.0,DC23,2020,fruitless,Fruitless and Wasteful Expenditure
134285885.0,DC23,2020,irregular,Irregular Expenditure
55812881.0,DC23,2020,unauthorised,Unauthorised Expenditure
3846296.0,DC23,2021,fruitless,Fruitless and Wasteful Expenditure
82826211.0,DC23,2021,irregular,Irregular Expenditure
62343845.0,DC23,2021,unauthorised,Unauthorised Expenditure
3854551.0,DC23,2022,fruitless,Fruitless and Wasteful Expenditure
307370937.0,DC23,2022,irregular,Irregular Expenditure
16733953.0,DC23,2022,unauthorised,Unauthorised Expenditure
48522790.0,DC23,2023,fruitless,Fruitless and Wasteful Expenditure
383091253.0,DC23,2023,irregular,Irregular Expenditure
155450071.0,DC23,2023,unauthorised,Unauthorised Expenditure
11797950.0,DC23,2024,fruitless,Fruitless and Wasteful Expenditure
385199722.0,DC23,2024,irregular,Irregular Expenditure
256334920.0,DC23,2024,unauthorised,Unauthorised Expenditure
73424.0,DC24,2019,fruitless,Fruitless and Wasteful Expenditure
355665449.0,DC24,2019,irregular,Irregular Expenditure
67696128.0,DC24,2019,unauthorised,Unauthorised Expenditure
4292500.0,DC24,2020,fruitless,Fruitless and Wasteful Expenditure
298373582.0,DC24,2020,irregular,Irregular Expenditure
0.0,DC24,2020,unauthorised,Unauthorised Expenditure
276625.0,DC24,2021,fruitless,Fruitless and Wasteful Expenditure
299928152.0,DC24,2021,irregular,Irregular Expenditure
221697206.0,DC24,2021,unauthorised,Unauthorised Expenditure
26616661.0,DC24,2022,fruitless,Fruitless and Wasteful Expenditure
136708770.0,DC24,2022,irregular,Irregular Expenditure
405735080.0,DC24,2022,unauthorised,Unauthorised Expenditure
3508582.0,DC24,2023,fruitless,Fruitless and Wasteful Expenditure
227723356.0,DC24,2023,irregular,Irregular Expenditure
316859410.0,DC24,2023,unauthorised,Unauthorised Expenditure
11935193.0,DC24,2024,fruitless,Fruitless and Wasteful Expenditure
242382304.0,DC24,2024,irregular,Irregular Expenditure
107974749.0,DC24,2024,unauthorised,Unauthorised Expenditure
142277.0,DC25,2019,fruitless,Fruitless and Wasteful Expenditure
26076058.0,DC25,2019,irregular,Irregular Expenditure
14597558.0,DC25,2019,unauthorised,Unauthorised Expenditure
50672.0,DC25,2020,fruitless,Fruitless and Wasteful Expenditure
101036862.0,DC25,2020,irregular,Irregular Expenditure
1100393.0,DC25,2020,unauthorised,Unauthorised Expenditure
3151383.0,DC25,2021,fruitless,Fruitless and Wasteful Expenditure
199647348.0,DC25,2021,irregular,Irregular Expenditure
64898298.0,DC25,2021,unauthorised,Unauthorised Expenditure
212286.0,DC25,2022,fruitless,Fruitless and Wasteful Expenditure
